Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
10001,Male,East,Basic,PayPal,27.0,27,1,61.08,0
10002,Unknown,West,Pro,PayPal,55.0,146,2,73.09,0
10003,Female,West,Pro,E-Wallet,,147,2,116.3,1
10004,Female,south,Basic,Credit Card,,34,1,0.58,1
10005,Male,North,Basic,Crypto,30.0,146,3,46.35,1
10006,Male,West,BASIC,Crypto,46.0,103,1,36.64,1
10007,Male,South,Basic,E-Wallet,22.0,62,2,0.0,1
10008,Non-Binary,East,Pro,E-Wallet,44.0,81,2,66.51,1
10009,Female,East,Pro,Crypto,43.0,6,1,99.03,1
10010,Female,East,Basic,,32.0,154,3,29.86,1
10011,Male,East,Basic,,-5.0,38,2,47.18,1
10012,Unknown,South,Basic,E-Wallet,-5.0,29,0,62.96,0
10013,Non-Binary,north,PLUS,Credit Card,-5.0,22,1,150.74,1
10014,Male,South,BASIC,E-Wallet,-5.0,83,2,0.0,1
10015,Male,North,Plus,E-Wallet,-5.0,150,1,113.16,1
10016,Male,East,Plus,Credit Card,-5.0,46,2,98.8,0
10017,Male,West,PRO,PayPal,-5.0,175,1,25.93,1
10018,Female,West,Pro,,-5.0,94,2,78.62,1
10019,Female,West,Basic,,-5.0,62,2,46.83,1
10020,Male,North,Pro,E-Wallet,-5.0,119,2,34.23,1
10021,Female,East,Basic,,-5.0,136,2,59.3,0
10022,Male,South,Plus,PayPal,150.0,150,2,191.92,1
10023,Male,West,Basic,Crypto,150.0,116,0,108.58,0
10024,Male,North,PRO,PayPal,150.0,174,2,122.11,1
10025,Female,West,Basic,Credit Card,150.0,86,4,71.26,0
10026,Female,South,Plus,E-Wallet,150.0,73,1,167.01,1
10027,Male,East,Basic,Credit Card,150.0,65,0,0.0,1
10028,Female,South,Pro,E-Wallet,150.0,36,1,73.77,0
10029,Female,East,Basic,Credit Card,150.0,124,2,72.01,1
10030,Male,East,Basic,Credit Card,150.0,165,4,22.69,1
10031,Female,East,Pro,Crypto,150.0,0,3,92.74,1
10032,Male,West,Plus,PayPal,35.0,175,0,194.64,1
10033,Male,South,Basic,PayPal,,81,1,34.88,1
10034,Unknown,West,Plus,Credit Card,19.0,34,1,150.38,0
10035,Unknown,South,Pro,PayPal,38.0,70,1,59.33,0
10036,Non-Binary,North,Plus,Crypto,27.0,107,5,241.32,1
10037,Male,North,Basic,Credit Card,,85,1,44.2,1
10038,Male,South,Basic,PayPal,,24,4,0.0,1
10039,Female,South,Plus,PayPal,38.0,41,2,131.4,1
