Learning_Mode,Subject,Study_Hours,Retention_Score,Focus_Level,Exam_Score
Offline,English,7.7,51,96,70
Offline,English,6.2,90,82,81
Online,English,1.2,75,66,71
Online,Math,6.5,80,64,77
Online,English,5.5,95,58,78
Offline,Science,4.7,75,40,59
Offline,Programming,6.1,61,68,67
Online,Math,1.8,57,72,62
Offline,History,2.4,94,44,72
Offline,History,2.1,63,59,57
Offline,History,7.0,53,99,76
Offline,Programming,6.3,97,68,86
Online,English,1.3,87,76,78
Offline,Math,3.7,90,61,83
Online,Science,4.4,64,53,54
Online,Math,1.7,64,56,60
Online,Science,7.1,48,49,47
Online,History,2.3,45,51,52
Online,History,1.5,40,70,56
Offline,Programming,6.5,65,89,73
Online,History,7.7,100,41,80
Offline,English,1.6,50,48,49
Offline,Science,5.2,74,48,60
Offline,Math,3.2,64,54,60
Online,Math,1.9,100,51,79
Offline,History,4.7,57,99,76
Online,Programming,5.4,93,72,88
Online,History,2.5,84,97,85
Offline,Science,6.9,42,66,47
Offline,Science,1.5,97,70,85
Online,Science,1.6,80,59,70
Online,Programming,6.2,93,83,86
Offline,English,2.6,46,84,60
Offline,English,5.7,100,100,99
Offline,Math,2.7,99,49,81
Offline,English,4.4,44,42,46
Online,Math,6.0,44,85,65
Offline,Science,2.2,79,69,74
Online,History,6.6,71,84,72
Offline,Math,7.1,62,51,61
Offline,Programming,3.7,80,77,80
Online,Science,7.5,99,46,73
Online,English,5.2,100,49,84
Online,Science,4.2,40,79,60
Offline,Math,7.7,72,80,75
Online,Science,6.1,55,65,60
Online,English,2.3,49,84,67
Offline,Science,5.1,79,98,91
Online,Math,7.1,59,77,68
Offline,History,4.7,73,68,73
Online,History,4.5,98,91,94
Offline,English,4.8,59,87,75
Online,English,2.3,41,73,49
Online,Math,2.6,94,44,76
Online,Math,5.2,90,96,89
Online,English,7.4,72,91,75
Online,History,2.5,96,41,79
Online,English,3.1,60,86,68
Offline,Math,1.3,54,91,63
Online,History,7.8,81,90,82
Offline,History,6.8,62,89,71
Online,Math,2.1,47,99,66
Offline,English,7.0,70,62,65
Online,History,4.9,51,61,55
Offline,Programming,7.0,82,68,81
Online,English,1.2,58,62,61
Online,Science,3.3,98,50,76
Offline,English,7.0,92,82,83
Offline,Programming,7.3,100,83,95
Online,History,7.9,46,88,66
Offline,Science,2.0,62,100,72
Online,English,1.9,62,80,67
Online,Math,3.6,64,40,57
Offline,Math,4.8,55,99,68
Online,Science,6.3,54,44,45
Offline,History,7.4,77,50,65
Offline,English,1.9,74,81,76
Online,Math,1.5,98,58,77
Offline,Programming,3.2,90,58,79
Online,English,7.4,94,58,74
Online,Programming,4.1,87,66,83
Offline,History,3.4,84,92,90
Offline,Programming,3.5,82,100,91
Offline,Programming,5.1,73,42,59
Offline,Programming,5.7,88,98,88
Offline,Programming,4.9,100,93,96
Online,English,5.2,62,53,58
Online,Science,4.2,54,95,68
Online,Science,6.8,83,46,72
Online,Programming,4.4,68,87,76
Offline,Programming,3.2,53,63,56
Online,English,1.8,67,60,63
Offline,English,7.8,65,96,77
Offline,English,3.1,51,87,64
Online,English,5.5,91,90,93
Online,Programming,5.6,73,54,69
Offline,Math,7.5,50,79,66
Online,English,6.2,95,79,89
Offline,Math,5.1,63,69,63
Online,Science,2.2,78,69,77
Offline,English,1.5,79,100,89
Online,Science,4.5,99,67,83
Online,Science,4.3,61,81,66
Offline,English,4.4,54,84,66
Online,History,3.1,42,96,64
Online,Programming,7.7,45,100,65
Offline,History,4.1,68,50,63
Online,Science,1.8,79,43,59
Offline,Science,6.0,84,53,72
Offline,Science,5.9,81,59,69
Offline,Science,1.9,57,89,67
Offline,Math,3.7,49,43,51
Offline,History,1.6,100,67,82
Online,English,5.8,85,71,74
Online,Programming,7.4,47,70,52
Online,English,1.6,81,85,84
Offline,English,1.1,98,68,85
Offline,Programming,6.1,53,41,46
Offline,Math,4.6,92,94,94
Offline,Science,6.5,59,83,72
Offline,English,2.1,90,89,86
Online,Programming,6.3,99,45,75
